Event,Sample label (Offset in mm/cm),Expedition,Site,H,Core,Type,Sect,Offset [cm],Depth sed [m] (CSFA),Depth comp [mcd] (Cappelli et al. 2019 (CCSF)),Offset [m] (Cappelli splice),Offset [m] (Bohaty splice (CCSF offset [S...),Depth comp [mcd] (Bohaty (CCSF-A/CCSF-M)),Depth comp [mcd] (two-site composite (Depth CCS...),Ca count [#],Fe count [#],Ca/Fe,Comment (Notes),Age [Ma],Al,Ti,Ti_Al,log_CaFe,CaCO3_wt_pct
342-U1410C,"342-U1410C-9H-4,42",342,U1410,C,9,H,4,42,78.22,83.57,5.35,5.35,83.57,64.17,3919926,111165,35.262,splice point 1,39.9560049,10141.0,9257.0,0.9128291095552706,1.5473069410980425,71.87344897434168
342-U1410C,"342-U1410C-9H-4,44",342,U1410,C,9,H,4,44,78.24,83.59,5.35,5.35,83.59,64.19,3791954,117928,32.155,,39.9568553,10294.0,9435.0,0.9165533320380804,1.5072485139187866,70.48562476471636
342-U1410C,"342-U1410C-9H-4,46",342,U1410,C,9,H,4,46,78.26,83.61,5.35,5.35,83.61,64.21,3616253,155283,23.288,,39.9577058,13566.0,12313.0,0.9076367389060888,1.3671321924307545,65.63129480676349
342-U1410C,"342-U1410C-9H-4,48",342,U1410,C,9,H,4,48,78.28,83.63,5.35,5.35,83.63,64.23,3369185,179637,18.756,,39.9585562,16998.0,16493.0,0.9702906224261678,1.2731402240668117,62.3749430627947
342-U1410C,"342-U1410C-9H-4,50",342,U1410,C,9,H,4,50,78.3,83.65,5.35,5.35,83.65,64.25,2543841,285883,8.898,,39.9594067,23732.0,23991.0,1.0109135344682285,0.9492924014120256,51.15523524691963
342-U1410C,"342-U1410C-9H-4,52",342,U1410,C,9,H,4,52,78.32,83.67,5.35,5.35,83.67,64.27,2258835,320644,7.045,,39.9602571,27619.0,29223.0,1.058075962199935,0.8478809974453753,47.64183715649503
342-U1410C,"342-U1410C-9H-4,54",342,U1410,C,9,H,4,54,78.34,83.69,5.35,5.35,83.69,64.29,1999742,374942,5.333,,39.9611076,29952.0,33449.0,1.1167534722222223,0.7269715836828766,43.45293051669326
342-U1410C,"342-U1410C-9H-4,56",342,U1410,C,9,H,4,56,78.36,83.71,5.35,5.35,83.71,64.31,1704665,429842,3.966,,39.961958,32412.0,36965.0,1.1404726644452672,0.5983527098692839,38.996929633421345
342-U1410C,"342-U1410C-9H-4,58",342,U1410,C,9,H,4,58,78.38,83.73,5.35,5.35,83.73,64.33,1622684,462233,3.511,,39.9628084,32079.0,38184.0,1.1903114186851211,0.5454308294653513,37.163451086827095
342-U1410C,"342-U1410C-9H-4,60",342,U1410,C,9,H,4,60,78.4,83.75,5.35,5.35,83.75,64.35,1132855,668288,1.695,,39.9636589,32560.0,41362.0,1.2703316953316954,0.229169702539101,26.206584344467153
342-U1410C,"342-U1410C-9H-4,62",342,U1410,C,9,H,4,62,78.42,83.77,5.35,5.35,83.77,64.37,1326983,556032,2.387,,39.9645093,36376.0,44000.0,1.2095887398284584,0.37785241900675454,31.35769705648901
342-U1410C,"342-U1410C-9H-4,64",342,U1410,C,9,H,4,64,78.44,83.79,5.35,5.35,83.79,64.39,1163189,643549,1.807,,39.9653598,33596.0,43016.0,1.2803905226812715,0.25695815256093185,27.169315195473484
342-U1410C,"342-U1410C-9H-4,66",342,U1410,C,9,H,4,66,78.46,83.81,5.35,5.35,83.81,64.41,1329627,554917,2.396,,39.9662102,36628.0,43327.0,1.1828928688435076,0.3794868137172738,31.414320661234953
342-U1410C,"342-U1410C-9H-4,68",342,U1410,C,9,H,4,68,78.48,83.83,5.35,5.35,83.83,64.43,1260081,550014,2.291,,39.9670607,36896.0,44507.0,1.206282523850824,0.3600250891893975,30.740069214966677
342-U1410C,"342-U1410C-9H-4,70",342,U1410,C,9,H,4,70,78.5,83.85,5.35,5.35,83.85,64.45,1486438,484783,3.066,,39.9679111,34831.0,40863.0,1.1731790646263387,0.48657215051835634,35.124292154708456
342-U1410C,"342-U1410C-9H-4,72",342,U1410,C,9,H,4,72,78.52,83.87,5.35,5.35,83.87,64.47,1134304,626153,1.812,,39.9687616,35239.0,43806.0,1.2431113255200203,0.25815819334079426,27.21089060829182
342-U1410C,"342-U1410C-9H-4,74",342,U1410,C,9,H,4,74,78.54,83.89,5.35,5.35,83.89,64.49,1312433,589129,2.228,,39.969612,33201.0,41352.0,1.2455046534742928,0.34791518650169134,30.320521636351096
342-U1410C,"342-U1410C-9H-4,76",342,U1410,C,9,H,4,76,78.56,83.91,5.35,5.35,83.91,64.51,1477002,507621,2.91,,39.9704624,33950.0,39907.0,1.1754639175257733,0.4638929889859073,34.338572603416765
342-U1410C,"342-U1410C-9H-4,78",342,U1410,C,9,H,4,78,78.58,83.93,5.35,5.35,83.93,64.53,1495535,514731,2.905,,39.9713129,33785.0,39055.0,1.1559863844901583,0.4631461367263495,34.31269790688438
342-U1410C,"342-U1410C-9H-4,80",342,U1410,C,9,H,4,80,78.6,83.95,5.35,5.35,83.95,64.55,1543563,544805,2.833,,39.9721633,31902.0,37768.0,1.183875619083443,0.4522465745204372,33.93508257426055
342-U1410C,"342-U1410C-9H-4,82",342,U1410,C,9,H,4,82,78.62,83.97,5.35,5.35,83.97,64.57,1735774,475640,3.649,,39.9730138,32398.0,36043.0,1.1125069448731404,0.5621738633646483,37.743513496268235
